Amount Pending,State,Tenure,Interest Rate,City,Bounce String,Disbursed Amount,Loan Number
963,Karnataka,11,7.69,Bangalore,SSS,10197,JZ6FS
1194,Karnataka,11,6.16,Bangalore,SSB,12738,RDIOY
1807,Karnataka,14,4.24,Hassan,BBS,24640,WNW4L
2451,Karnataka,10,4.7,Bangalore,SSS,23990,6LBJS
2611,Karnataka,10,4.41,Mysore,SSB,25590,ZFZUA
2172,Karnataka,14,4.36,DAKSHINA KANNADA,SSB,29596,T07RO
1041,Karnataka,10,5.77,BANGALORE RURAL,SSB,10140,Y0M29
1585,Karnataka,10,6.47,Bangalore,SSS,15390,OE4AV
983,Karnataka,11,6.03,DAKSHINA KANNADA,SSS,10494,2MR0X
1600,Karnataka,14,4.8,Mysore,SSS,21742,MK67U
1475,Karnataka,10,4.66,HAVERI,SSS,14440,3MAX9
1349,Karnataka,11,5.44,Bangalore,SSS,14443,CVTKZ
1704,Karnataka,14,4.5,BANGALORE RURAL,SSS,23198,0IUYF
1050,Karnataka,10,6.58,Mysore,BBS,10190,UT92F
1152,Karnataka,11,5.67,Gulbarga,SSS,12320,HCJUD
1805,Karnataka,10,5.67,Bijapura,SSS,17590,YJULO
954,Karnataka,11,6.88,Dharwad,SSS,10142,22RK0
1117,Karnataka,11,6.6,Bagalkot,SSS,11891,WCUH6
1220,Karnataka,10,5.65,Mysore,SSS,11890,4Q2ZE
2428,Karnataka,14,4.09,Bangalore,SSS,33138,SPYLE
1969,Karnataka,10,5.65,RAMANAGAR,SBB,19190,F4Z6I
1585,Karnataka,11,5.14,BANGALORE RURAL,SSS,16995,W7TPT
3340,Karnataka,11,5.81,HAVERI,SSS,35695,V5SQU
1585,Karnataka,10,6.47,Bangalore,SSS,15390,JECI1
3340,Karnataka,11,5.81,Mysore,BB,35695,IUFXZ
1807,Karnataka,14,4.24,Mysore,SS,24640,50PG2
2089,Karnataka,10,5.31,Bangalore,BS,20390,26RBN
2611,Karnataka,10,4.41,HAVERI,SS,25590,GS7O6
2304,Karnataka,14,4.1,Kolar,SS,31444,VJ921
1259,Karnataka,10,4.75,BANGALORE RURAL,BS,12320,4WR05
954,Karnataka,11,6.88,Bangalore,SS,10142,VLYJZ
1349,Karnataka,11,5.44,Bijapura,SS,14443,GNLHU
1381,Karnataka,10,4.98,BANGALORE RURAL,SS,13500,HQRPF
1426,Karnataka,11,5.14,DAKSHINA KANNADA,BS,15290,KAIC4
1333,Karnataka,10,6.52,BANGALORE RURAL,SB,12940,0ZE2T
2089,Karnataka,10,5.31,Bellary,BB,20390,MG4N0
2428,Karnataka,14,4.09,Belgaum,SB,33138,UYX0A
1729,Karnataka,10,6.45,Chitradurga,SS,16790,VVU2E
2172,Karnataka,14,4.36,Bijapura,SS,29596,D27K4
1249,Karnataka,11,6.56,Bangalore,SS,13299,GE6GU
2428,Karnataka,14,4.09,Davangere,SS,33138,0EF7V
2991,Karnataka,10,3.84,BANGALORE RURAL,BS,29390,HQCND
1496,Karnataka,14,5.14,Bangalore,SS,20286,NWVWG
1475,Karnataka,10,4.66,BANGALORE RURAL,SS,14440,UL8J7
1915,Karnataka,10,5.33,Belgaum,BS,18690,7FKW3
1732,Karnataka,10,4.35,Mandya,SS,16980,7PNX3
2089,Karnataka,10,5.31,Gulbarga,SS,20390,59LAY
2291,Karnataka,10,5.04,HAVERI,BB,22390,36OSM
774,Karnataka,10,4.58,BANGALORE RURAL,SS,7580,MDLTB
2428,Karnataka,14,4.09,Kolar,SB,33138,9L4KY
1048,Karnataka,10,5.73,Mandya,SS,10210,XV6H7
1218,Karnataka,11,5.36,DAKSHINA KANNADA,SS,13046,J0B1Z
1915,Karnataka,10,5.33,Bangalore,SS,18690,ICJ0D
1585,Karnataka,11,5.14,BANGALORE RURAL,BB,16995,4HSP4
2089,Karnataka,10,5.31,Mandya,SB,20390,WNHUP
1910,Karnataka,14,4.01,Kolar,BB,26082,1G1IP
1553,Karnataka,10,4.85,Bangalore,SS,15190,YBD58
954,Karnataka,11,6.88,Bijapura,SS,10142,UPAA7
1220,Karnataka,10,5.65,Bangalore,SS,11890,15XA2
2173,Karnataka,10,5.11,Davangere,BS,21230,QR32K
1194,Karnataka,11,6.16,BANGALORE RURAL,SS,12738,8FOFC
2428,Karnataka,14,4.09,Belgaum,SS,33138,UHS3L
1259,Karnataka,10,4.75,Uttara Kannada,BS,12320,TKCWH
1259,Karnataka,10,4.75,Gulbarga,SS,12320,BSE8H
1543,Karnataka,11,4.88,Bangalore,SS,16566,N2M76
1813,Karnataka,14,4.5,BANGALORE RURAL,SS,24682,9XEPP
2089,Karnataka,10,5.31,Bangalore,SS,20390,AQOLK
1354,Karnataka,11,5.58,BANGALORE RURAL,SS,14487,BXK9X
1632,Karnataka,11,4.61,CHAMRAJNAGAR,SS,17545,YSMJA
2089,Karnataka,10,5.31,Bangalore,SS,20390,XIVID
1050,Karnataka,10,6.58,Bangalore,SS,10190,3JJYP
1609,Karnataka,10,6.94,Bijapura,SB,15590,PL81C
1620,Karnataka,11,4.64,Bangalore,SS,17413,D749I
